,watch_name,Watch Description,Watch Price,Total Rating
87,Fire-Boltt ,Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),329,"1,109"
88,Fastrack,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)","1,699",255
89,boAt,Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,299,"127,137"
90,LORENZ,TAGG Verve NEO Smartwatch 1.69’’ HD Display | 60+ Sports Modes | 10 Days Battery | 150+ Maximum Watch Face Library | Waterproof | 24 * 7 HeartRate & Blood Oxygen Tracking | Games & Calculator | Grey,"2,799",878
91,TAGG,Analog Watch for Men | Watch for Boys,"1,550",674
92,TIMEX,"Hammer Pulse X 1.83"" Display Smart Watch with Bluetooth Calling, Voice Assistant & 60+ Sports Modes, SpO2, Heart Rate Tracking (Black)",749,163
93,Hammer,Analog Rose Gold Dial Women's Watch-TWEL11817,395,"5,880"
94,SELLORIA,"beatXP Marv Raze 1.96"" Display, Advanced Bluetooth Calling Smart Watch, Smart AI Voice Assistant, 60 Hz Refresh Rate, Health, SpO2 & Stress Monitoring, Fast Charging (Blue)","1,599",491
95,beatXP,The Watch (Fourteen Tales of Thirteen Covens Book 5),"1,455",243
96,hamt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,699",333
97,Fossil,"Fire-Boltt Quantum Luxury Stainless Steel Design 1.28"" Bluetooth Calling Smartwatch with High Resolution of 240 * 240 Px & TWS Connection, SpO2 Tracking with 100 Sports Modes (Raven Gold)",0,912
98,Fire-Boltt,Analog Men's Watch (Multicolor Dial Multi Colored Strap),"1,499",3
99,boAt,Chronograph White Dial Men's Watch-CH2882,139,"2,832"
100,Audrey Brice,"PTron Newly Launched Force X10S Smartwatch with Bluetooth Calling, 1.85"" Full Touch Display, 600 NITS Brightness, HR, SpO2, Watch Faces, Voice Assistant, 5days Battery Life & IP68 Waterproof (Black)","5,595",83
101,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
102,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
